customer_id,first_name,email,acquisition_event_id,acquisition_date,zip_code
1,Mai,mai.fowler@gmail.com,5,2024-02-17,92123
2,Sarah,sarah.johnson@gmail.com,8,2024-03-30,92024
4,Amanda,amanda.walker@icloud.com,29,2024-03-16,92115
5,Duc,duc.doyle@yahoo.com,31,2024-05-18,92014
6,Jessica,jessica.rhodes@icloud.com,29,2024-03-16,92120
7,Mai,mai.mcclain@yahoo.com,29,2024-03-16,92131
8,Lan,lan.miller@gmail.com,9,2024-04-13,92108
9,Maria,maria.henderson@yahoo.com,14,2024-06-22,92054
10,Bao,bao.johnson@icloud.com,31,2024-05-18,92054
11,Daniel,daniel.robinson@outlook.com,4,2024-02-03,92101
13,Jordan,jordan.johnson@outlook.com,21,2024-09-28,92116
14,Jennifer,jennifer.gonzalez@yahoo.com,6,2024-03-02,92101
15,Elena,elena.santos@outlook.com,9,2024-04-13,92109
17,Brian,brian.robinson@yahoo.com,11,2024-05-11,92120
18,Marcus,marcus.lawrence@yahoo.com,13,2024-06-08,92037
19,Linh,linh.pacheco@outlook.com,7,2024-03-16,92101
20,Phuong,phuong.smith@outlook.com,31,2024-05-18,92111
22,Lan,lan.wolfe@icloud.com,14,2024-06-22,92014
24,David,david.moore@yahoo.com,28,2024-02-10,92037
25,Brian,brian.bernard@icloud.com,31,2024-05-18,92014
26,Marcus,marcus.rogers@yahoo.com,38,2024-12-14,92123
29,Bao,bao.abbott@outlook.com,17,2024-08-03,92024
30,David,david.munoz@yahoo.com,9,2024-04-13,92101
31,Bao,bao.roman@gmail.com,21,2024-09-28,92104
33,Thanh,thanh.herrera@outlook.com,28,2024-02-10,92110
35,Chris,chris.gray@yahoo.com,10,2024-04-27,92124
36,Thy,thy.arnold@gmail.com,10,2024-04-27,92124
37,Nicole,nicole.calderon@icloud.com,28,2024-02-10,92130
38,Elena,elena.montgomery@gmail.com,29,2024-03-16,92103
39,Amanda,amanda.hensley@outlook.com,33,2024-07-13,92111
40,Thy,thy.ray@yahoo.com,29,2024-03-16,92130
